,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
616,0,2018,0.8660254038,-0.5,142155.092588,0,0,1,0,0,1,0,0,1,5961
8075,0,2018,0.8660254038,-0.5,526358.778092,0,0,0,0,0,1,26916,1,0,5873
10091,0,2018,0.8660254038,-0.5,172424.508636,0,0,1,0,0,1,0,0,0,5832
5788,0,2018,0.8660254038,-0.5,9205.723512,0,1,2,0,0,1,0,0,0,5816
9108,0,2018,0.8660254038,-0.5,55073.298713,0,1,2,0,0,1,0,0,0,5816
8924,0,2018,0.8660254038,-0.5,476892.601088,0,0,1,0,0,1,0,1,1,5729
589,0,2018,1,6.12323399573677E-17,1057478.179017,0,0,1,1,0,1,0,0,1,5692
6662,0,2018,1,6.12323399573677E-17,780329.631151,0,0,1,0,0,1,0,0,0,5586
1990,0,2018,0.8660254038,-0.5,345462.419074,0,0,1,0,0,1,0,1,1,5525
5871,0,2018,0.8660254038,-0.5,522278.691002,0,0,1,0,0,1,0,0,0,5514
7095,0,2018,0.8660254038,-0.5,157958.161803,1,0,2,0,0,1,0,1,1,5483
10328,0,2018,1,6.12323399573677E-17,2208539.896264,1,0,1,0,0,1,0,0,2,5474
3336,0,2018,0.8660254038,-0.5,406042.366346,0,0,1,1,0,1,0,0,0,5464
9875,0,2018,0.8660254038,-0.5,183097.396385,1,0,1,0,0,1,0,0,1,5462
6355,0,2018,1,6.12323399573677E-17,1138098.057587,0,2,1,1,0,1,0,0,0,5454
2004,0,2017,0.5,0.8660254038,38594494.460686,0,0,1,0,0,1,0,0,0,5391
9107,0,2018,0.8660254038,-0.5,55067.296134,0,0,1,0,0,1,0,0,2,5333
8162,0,2018,1,6.12323399573677E-17,1176822.65497,0,0,1,0,0,1,0,0,0,5321
10057,0,2018,0.8660254038,-0.5,72697.142958,1,1,1,0,0,1,0,0,2,5142
7018,0,2018,0.8660254038,-0.5,416235.941868,0,0,1,0,0,1,0,2,1,5048
4493,0,2018,1,6.12323399573677E-17,867395.674877,0,0,1,0,0,1,0,0,0,5044
